updated 10/16/14,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID
N00034296,"Aalders, Tim",3,UT04,H4UT04052
N00036765,"Ables, Wayne",D,LAS1,S4LA00156
N00036389,Abraham,3,UT03,H4UT03187
N00036633,"Abraham, Ralph",R,LA05,H4LA05221
N00027398,"Acosta, Raul",I,COS2,S4CO00296
N00029081,"Adame, Marhshall",D,NC03,H8NC03043
N00035451,"Adams, Alma",D,NC12,H4NC12100
N00032432,"Adams, John",R,OH03,H0OH15099
N00035389,"Adams, Steve",R,CA41,H4CA41120
N00036376,"Adams, Thomas A",D,SC05,H4SC05058
N00031338,"Adcock, Dee",R,PA13,H0PA13080
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098
N00033997,"Aguilar, Pete",D,CA31,H2CA31125
N00035909,"Aiken, Clay",D,NC02,H4NC02127
N00036001,"Aikens, William",L,TX28,H4TX28079
N00033916,"Alameel, David",D,TXS1,S4TX00516
N00035564,"Alas, Art",R,CA32,H4CA32103
N00036483,"Alberson, Floyd Wayne",I,TN09,H4TN09071
N00009888,"Alexander, Lamar",R,TNS2,S2TN00058
N00035983,"Alexander, Lewis",L,TX15,H4TX15126
N00033720,"Allen, Richard W",R,GA12,H2GA12121
N00036679,"Allison, Joy Jennifer",I,HIS1,S4HI00151
N00031084,"Amador, Tony",R,CA09,H0CA11337
N00031938,"Amash, Justin",R,MI03,H0MI03126
N00031177,"Amodei, Mark",R,NV02,H2NV02395
N00033885,"Anderson, Dennis",D,IL14,H2IL14078
N00036108,"Anderson, Peter O",D,CA39,H4CA39041
N00035343,"Anderson, Quentin",D,LA06,H4LA06070
N00036730,"Andrews, Matthew",3,VT01,H4VT00116
N00036777,"Angel, Dark",I,NJ10,H4NJ10119
N00036746,"Ansley, Justin",D,LA04,H4LA04026
N00035414,"Appel, Staci",D,IA03,H4IA03065
N00034703,"Armstrong, Brandon",I,SCS1,S4SC00232
N00005697,"Ashby, Ken",L,TX05,H8TX05052
N00005293,"Ashford, Brad",D,NE02,H4NE02054
N00026113,"Assini, Mark",R,NY25,H4NY29098
N00031491,"Atanus, Susanne",R,IL09,H0IL09080
N00035012,"Atwood, Frank",L,CO01,H2CO01140
N00035058,"August, Bernie",3,DE01,H2DE00155
N00035733,"Aulenti, James",I,MA05,H4MA05159
N00034173,"Ayers, Avery",I,TXS1,S4TX00441
